 Name                           Version          License                                                                                           Author                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   URL                                                                                            Description                                                                                                                                                                                                                                                                       
 pytorch-lightning              2.5.3            Apache Software License                                                                           Lightning AI et al.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      https://github.com/Lightning-AI/lightning                                                      PyTorch Lightning is the lightweight PyTorch wrapper for ML researchers. Scale your models. Write less boilerplate.                                                                                                                                                               
 pytz                           2025.2           MIT License                                                                                       Stuart Bishop                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            http://pythonhosted.org/pytz                                                                   World timezone definitions, modern and historical                                                                                                                                                                                                                                 
 pyvista                        0.46.1           UNKNOWN                                                                                           PyVista Developers <info@pyvista.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                    https://github.com/pyvista/pyvista                                                             Easier Pythonic interface to VTK                                                                                                                                                                                                                                                  
 pyviz_comms                    3.0.6            BSD License                                                                                       Philipp Rudiger                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/holoviz/pyviz_comms                                                         A JupyterLab extension for rendering HoloViz content.                                                                                                                                                                                                                             
 pyzmq                          27.0.1           BSD License                                                                                       Brian E. Granger, Min Ragan-Kelley                                                                                                                                                                                                                                                                                                                                                                                                                                                                       https://pyzmq.readthedocs.org                                                                  Python bindings for 0MQ                                                                                                                                                                                                                                                           
 referencing                    0.36.2           UNKNOWN                                                                                           Julian Berman <Julian+referencing@GrayVines.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                         https://github.com/python-jsonschema/referencing                                               JSON Referencing + Python                                                                                                                                                                                                                                                         
 regex                          2025.7.34        UNKNOWN                                                                                           Matthew Barnett <regex@mrabarnett.plus.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                              https://github.com/mrabarnett/mrab-regex                                                       Alternative regular expression module, to replace re.                                                                                                                                                                                                                             
 requests                       2.32.5           Apache Software License                                                                           Kenneth Reitz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            https://requests.readthedocs.io                                                                Python HTTP for Humans.                                                                                                                                                                                                                                                           
 requests-oauthlib              2.0.0            BSD License                                                                                       Kenneth Reitz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            https://github.com/requests/requests-oauthlib                                                  OAuthlib authentication support for Requests.                                                                                                                                                                                                                                     
 requests-toolbelt              1.0.0            Apache Software License                                                                           Ian Cordasco, Cory Benfield                                                                                                                                                                                                                                                                                                                                                                                                                                                                              https://toolbelt.readthedocs.io/                                                               A utility belt for advanced users of python-requests                                                                                                                                                                                                                              
 retrying                       1.4.2            UNKNOWN                                                                                           Alex Kuang, Anthony McClosky, Cyrus Durgin, Daniel Nephin, Dougal Matthews, Greg Roodt, Haïkel Guémar, Hugo Klepsch, J Derek Wilson, James Page, Jason Dunkelberger, Job Evers, Jonathan Herriott, Josh Marshall, Joshua Harlow, Justin Turner Arthur, Maxym Shalenyi, Monty Taylor, Pierre-Yves Chibon, Ray Holder, Rees Dooley, Saul Shanabrook, Simon Dollé, Simeon Visser, Thomas Goirand                                                                                                            https://github.com/groodt/retrying                                                             Retrying                                                                                                                                                                                                                                                                          
 rf100vl                        1.0.0            MIT License                                                                                       Roboflow, Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           UNKNOWN                                                                                        RF100-VL Dataset Interface                                                                                                                                                                                                                                                        
 rfc3339-validator              0.1.4            MIT License                                                                                       Nicolas Aimetti                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/naimetti/rfc3339-validator                                                  A pure python RFC3339 validator                                                                                                                                                                                                                                                   
 rfc3986-validator              0.1.1            MIT License                                                                                       Nicolas Aimetti                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/naimetti/rfc3986-validator                                                  Pure python rfc3986 validator                                                                                                                                                                                                                                                     
 rfc3987-syntax                 1.1.0            Apache Software License                                                                           Jan Kowalleck                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            https://github.com/willynilly/rfc3987-syntax                                                   Helper functions to syntactically validate strings according to RFC 3987.                                                                                                                                                                                                         
 rfdetr                         1.2.1            Apache Software License                                                                           "Roboflow, Inc" <peter@roboflow.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                     https://github.com/roboflow/rf-detr                                                            RF-DETR                                                                                                                                                                                                                                                                           
 rich                           14.1.0           MIT License                                                                                       Will McGugan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             https://github.com/Textualize/rich                                                             Render rich text, tables, progress bars, syntax highlighting, markdown and more to the terminal                                                                                                                                                                                   
 roboflow                       1.2.6            Apache Software License                                                                           Roboflow                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 https://github.com/roboflow-ai/roboflow-python                                                 Official Python package for working with the Roboflow API                                                                                                                                                                                                                         
 rpds-py                        0.27.0           UNKNOWN                                                                                           Julian Berman <Julian+rpds@GrayVines.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                https://github.com/crate-py/rpds                                                               Python bindings to Rust's persistent data structures (rpds)                                                                                                                                                                                                                       
 rsa                            4.9.1            Apache Software License                                                                           Sybren A. Stüvel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         https://stuvel.eu/rsa                                                                          Pure-Python RSA implementation                                                                                                                                                                                                                                                    
 ruff                           0.12.9           MIT License                                                                                       "Astral Software Inc." <hey@astral.sh>                                                                                                                                                                                                                                                                                                                                                                                                                                                                   https://docs.astral.sh/ruff                                                                    An extremely fast Python linter and code formatter, written in Rust.                                                                                                                                                                                                              
 safetensors                    0.6.2            Apache Software License                                                                           Nicolas Patry <patry.nicolas@protonmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                             https://github.com/huggingface/safetensors                                                     UNKNOWN                                                                                                                                                                                                                                                                           
 scikit-image                   0.25.2           BSD License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://scikit-image.org                                                                       Image processing in Python                                                                                                                                                                                                                                                        
 scikit-learn                   1.7.1            UNKNOWN                                                                                           UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://scikit-learn.org                                                                       A set of python modules for machine learning and data mining                                                                                                                                                                                                                      
 scipy                          1.15.3           BSD License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://scipy.org/                                                                             Fundamental algorithms for scientific computing in Python                                                                                                                                                                                                                         
 scooby                         0.10.1           MIT License                                                                                       Dieter Werthmüller, Bane Sullivan, Alex Kaszynski, and contributors                                                                                                                                                                                                                                                                                                                                                                                                                                      https://github.com/banesullivan/scooby                                                         A Great Dane turned Python environment detective                                                                                                                                                                                                                                  
 seaborn                        0.13.2           BSD License                                                                                       Michael Waskom <mwaskom@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                       https://github.com/mwaskom/seaborn                                                             Statistical data visualization                                                                                                                                                                                                                                                    
 sentry-sdk                     2.35.0           BSD License                                                                                       Sentry Team and Contributors                                                                                                                                                                                                                                                                                                                                                                                                                                                                             https://github.com/getsentry/sentry-python                                                     Python client for Sentry (https://sentry.io)                                                                                                                                                                                                                                      
 six                            1.17.0           MIT License                                                                                       Benjamin Peterson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        https://github.com/benjaminp/six                                                               Python 2 and 3 compatibility utilities                                                                                                                                                                                                                                            
 smmap                          5.0.2            BSD License                                                                                       Sebastian Thiel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/gitpython-developers/smmap                                                  A pure Python implementation of a sliding window memory map manager                                                                                                                                                                                                               
 sniffio                        1.3.1            Apache Software License; MIT License                                                              "Nathaniel J. Smith" <njs@pobox.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                     https://github.com/python-trio/sniffio                                                         Sniff out which async library your code is running under                                                                                                                                                                                                                          
 snowballstemmer                3.0.1            BSD License                                                                                       Snowball Developers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      https://github.com/snowballstem/snowball                                                       This package provides 32 stemmers for 30 languages generated from Snowball algorithms.                                                                                                                                                                                            
 soupsieve                      2.7              MIT License                                                                                       Isaac Muse <Isaac.Muse@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                        https://github.com/facelessuser/soupsieve                                                      A modern CSS selector implementation for Beautiful Soup.                                                                                                                                                                                                                          
 sphinx-rtd-theme               3.0.2            MIT License                                                                                       Dave Snider, Read the Docs, Inc. & contributors                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/readthedocs/sphinx_rtd_theme                                                Read the Docs theme for Sphinx                                                                                                                                                                                                                                                    
 sphinxcontrib-applehelp        2.0.0            BSD License                                                                                       Georg Brandl <georg@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://www.sphinx-doc.org/                                                                    sphinxcontrib-applehelp is a Sphinx extension which outputs Apple help books                                                                                                                                                                                                      
 sphinxcontrib-bibtex           2.6.5            UNKNOWN                                                                                           Matthias C. M. Troffaes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/mcmtroffaes/sphinxcontrib-bibtex                                            Sphinx extension for BibTeX style citations.                                                                                                                                                                                                                                      
 sphinxcontrib-devhelp          2.0.0            BSD License                                                                                       Georg Brandl <georg@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://www.sphinx-doc.org/                                                                    sphinxcontrib-devhelp is a sphinx extension which outputs Devhelp documents                                                                                                                                                                                                       
 sphinxcontrib-htmlhelp         2.1.0            BSD License                                                                                       Georg Brandl <georg@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://www.sphinx-doc.org/                                                                    sphinxcontrib-htmlhelp is a sphinx extension which renders HTML help files                                                                                                                                                                                                        
 sphinxcontrib-jquery           4.1              BSD License                                                                                       Adam Turner                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              https://github.com/sphinx-contrib/jquery/                                                      Extension to include jQuery on newer Sphinx releases                                                                                                                                                                                                                              
 sphinxcontrib-jsmath           1.0.1            BSD License                                                                                       Georg Brandl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             http://sphinx-doc.org/                                                                         A sphinx extension which renders display math in HTML via JavaScript                                                                                                                                                                                                              
 sphinxcontrib-qthelp           2.0.0            BSD License                                                                                       Georg Brandl <georg@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://www.sphinx-doc.org/                                                                    sphinxcontrib-qthelp is a sphinx extension which outputs QtHelp documents                                                                                                                                                                                                         
 sphinxcontrib-serializinghtml  2.0.0            BSD License                                                                                       Georg Brandl <georg@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://www.sphinx-doc.org/                                                                    sphinxcontrib-serializinghtml is a sphinx extension which outputs "serialized" HTML files (json and pickle)                                                                                                                                                                       
 stack-data                     0.6.3            MIT License                                                                                       Alex Hall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                http://github.com/alexmojaki/stack_data                                                        Extract data from python stack frames and tracebacks for informative displays                                                                                                                                                                                                     
 starbars                       3.1.1            MIT License                                                                                       Elide Brunelli <elide.98@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                      UNKNOWN                                                                                        Visualize statistical significance on existing Matplotlib plots by adding                                                                                                                                                                                                         
 superqt                        0.7.6            BSD License                                                                                       superqt community                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        https://github.com/pyapp-kit/superqt                                                           Missing widgets and components for PyQt/PySide                                                                                                                                                                                                                                    
